x,y
0.0,9.42477796076938
0.01,6.885306008493062
0.02,5.036321762906628
0.03,3.69298694792134
0.04,2.7179902776343123
0.05,2.0102462010264084
0.060000000000000005,1.4958871034467023
0.07,1.121251774156711
0.08,0.8475324121864317
0.09,0.6467523655173671
0.09999999999999999,0.49878303023049453
0.10999999999999999,0.3891549155212092
0.11999999999999998,0.3074652042263028
0.12999999999999998,0.2462271087628646
0.13999999999999999,0.20004277918902816
0.15,0.16501105664495044
0.16,0.13830450689963164
0.17,0.11786784665757263
0.18000000000000002,0.10220311851705237
0.19000000000000003,0.09021674240210267
0.20000000000000004,0.08111069867981442
0.21000000000000005,0.07430525290834329
0.22000000000000006,0.06938434043163057
0.23000000000000007,0.06605739246274643
0.24000000000000007,0.06413330522977885
0.25000000000000006,0.06350365437781288
0.26000000000000006,0.06413330522977885
0.2700000000000001,0.06605739246274649
0.2800000000000001,0.06938434043163057
0.2900000000000001,0.07430525290834344
0.3000000000000001,0.08111069867981449
0.3100000000000001,0.09021674240210283
0.3200000000000001,0.10220311851705255
0.3300000000000001,0.11786784665757286
0.34000000000000014,0.1383045068996319
0.35000000000000014,0.16501105664495092
0.36000000000000015,0.2000427791890286
0.37000000000000016,0.24622710876286516
0.38000000000000017,0.30746520422630363
0.3900000000000002,0.38915491552121073
0.4000000000000002,0.4987830302304972
0.4100000000000002,0.6467523655173706
0.4200000000000002,0.8475324121864369
0.4300000000000002,1.1212517741567165
0.4400000000000002,1.4958871034467103
0.45000000000000023,2.0102462010264195
0.46000000000000024,2.7179902776343297
0.47000000000000025,3.692986947921365
0.48000000000000026,5.036321762906665
0.49000000000000027,6.8853060084931155
0.5000000000000002,9.424777960769436
0.5100000000000002,12.900870273628637
0.5200000000000002,17.637165334436485
0.5300000000000002,24.05273586461017
0.5400000000000003,32.68092617576166
0.5500000000000003,44.18684615071089
0.5600000000000003,59.38044348743848
0.5700000000000003,79.22077954044795
0.5800000000000003,104.8059499938815
0.5900000000000003,137.34227247665092
0.6000000000000003,178.08633058096794
0.6100000000000003,228.25470286257703
0.6200000000000003,288.8991612346033
0.6300000000000003,360.75004111489386
0.6400000000000003,444.0372202881129
0.6500000000000004,538.3059863735685
0.6600000000000004,642.2526756432205
0.6700000000000004,753.6104385436128
0.6800000000000004,869.1167246035066
0.6900000000000004,984.5893039885938
0.7000000000000004,1095.126056803531
0.7100000000000004,1195.4261123284673
0.7200000000000004,1280.2087482164884
0.7300000000000004,1344.6858299757844
0.7400000000000004,1385.0282515699778
0.7500000000000004,1398.7610709981234
0.7600000000000005,1385.0282515699753
0.7700000000000005,1344.6858299757805
0.7800000000000005,1280.2087482164816
0.7900000000000005,1195.42611232846
